Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS ≥45,1,0,0,0,0,0,1,0,1,Low,1,Excluded: current suicidal ideation with intent or plan,Excluded: current unstable psychotic symptoms,Mixed,MST; Combat-related; Illness/medical procedure; Natural or manmade disasters; Other (life-threatening or serious injury; life-threatening illness),High
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-IV,1,0,0,0,0,0,1,0,1,High,1,Excluded: patients whose trauma resulted from a suicide attempt,Excluded: current psychosis,Accidents,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,DSM-5,1,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""a suicide attempt in the past year as reported by the veteran and a VA EMR chart review""","Excluded: ""psychosis.. In the past year as reported by the veteran and a VA EMR



chart review",Mixed,"combat-related, other (not specified)",Medium
Other study class,PTSD,Other (interaction through a secure website from home),Parallel,Cluster-level,0,0,0,0,Self report,PDS,PDS for DSM-IV ≥11,1,1,0,0,0,0,1,0,1,High,1,"Excluded: ""high risk of suicide"" assessed by the ""Arabic translation of the Suicide Risk Assessment, a 6-item self-report questionnaire designed to capture suicidal tendencies. It consists of questions identifying suicidal plans, previous suicide attempts, and current suicidal intentions""","Excluded: ""psychotic symptoms"" assessd by the ""Arabic translation of the Dutch Screening Device for Psychotic Disorder"" using Dutch norm data (no Iraqi norm group data available)",Mixed,"terrorism/political violence/forced displacement, rape/sexual assault, community/school violence",Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV-TR criteria,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Natural or manmade disasters,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Other (home),Parallel,N,1,1,1,1,Structured Clinical Interview,MINI,MINI PTSD subscale,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Crossover all periods,Cluster-level,1,0,1,0,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III-R criteria,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, accidents, community/school violence, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-5 ≥23,1,0,0,0,0,0,0,1,1,High,1,"Excluded: ""suicidal or homicidal risk meriting crisis intervention""","Excluded: ""psychotic disorder or features""",Mixed,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Mixed,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-IV criteria and CAPS-2 >50,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: schizophrenia,Combat-related,"combat-related, other (not specified)",Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,ICD Codes,ICD-10 research criteria,1,1,0,0,1,0,1,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""having a psychotic disorder (defined as patients with an ICD- 10 diagnosis F2x and F30.1-F31.9)",Mixed,"combat-related, rape/sexual assault, terrorism/political violence/forced dsplacement, other (""violence from relatives"")",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,PSS-I,PSS-I for DSM-IV,1,0,0,0,0,1,0,1,1,Some Concerns,1,Excluded: current suicidal risk meriting crisis intervention,Excluded: active psychosis,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (noncombat death)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID-I/P for DSM-IV-TR,1,1,0,0,0,0,0,0,1,High,1,Excluded: current suicidal intent or overt self-harm,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (fire)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-IV for DSM-IV-TR,1,1,0,1,0,0,0,0,1,High,1,"Excluded: ""imminent suicidality"" and ""self-harm in the past 6 months""","Excluded: ""uncontrolled psychotic disorders""",Mixed,Combat-related; Other (TBI),High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,0,0,0,0,0,0,0,1,1,High,1,"Excluded: ""significant suicidal risk""","Excluded: ""psychotic disorders""",Mixed,"Other (""Childhood trauma""), Other (not specified)",High
Other study class,PTSD,Mixed,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-5 criteria and CAPS-5 ≤55,1,1,0,0,1,1,0,0,1,Some Concerns,1,"Excluded: ""suicidal intent""","Excluded: ""psychosis""",Mixed,"accidents, illness/medical procedure, rape/sexual assault, terrorism/political violence/forced displacement, community/school violence",Medium
