Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Pharmacotherapy,PTSD,Mixed,Crossover all periods,Cluster-level,0,0,1,1,Structured Clinical Interview,SCID and IES,Clinician diagnosed using DSM-IV criteria and IES-R intrusions >7,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: life-threatening self-injurious behavior within the last 4 months,Excluded: lifetime diagnosis of schizophrenia,Mixed,"child sexual abuse, rape/sexual assault, child physical abuse, child other abuse",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III-R criteria,1,1,0,0,1,0,0,0,1,High,1,"Excluded: ""actively suicidal""",Excluded: psychosis,Mixed,"rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disaster",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0 (except chloral h1drate as 0eeded),Structured Clinical Interview,CAPS,CAPS-1 for DSM-III-R and CAPS-2 ≥50,1,0,0,0,0,0,1,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: current or past history of bipolar, schizophrenic, or other psychotic disorder",Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (seeing someone hurt or die, kidnapping)",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS and MINI,MINI for DSM-IV and CAPS,1,1,0,0,0,0,0,0,1,Some Concerns,1,Excluded: acute suicidal tendency,Excluded: current or past psychosis or delusional disorders,Mixed,"combat-related, rape/sexual assault, accidents, other (violent nonsexual assault; ""miscellaneous"")",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Clinical diagnosis,DSM,DSM-IV criteria,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""current suicidal ideation""","Excluded: ""history of psychotic disorder""",Mixed,Combat-related; Terrorism/political violence/forced displacement,Medium
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Structured Clinical Interview,SI-PTSD and DSM,Clinician diagnosed using DSM-IV criteria and SI-PTSD,0,0,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Mixed,Parallel,N,1,1,1,1,Structured Clinical Interview,CAPS,CAPS-1 for DSM-IV,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Child sexual abuse,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,0,1,Structured Clinical Interview,CAPS,CAPS-1 for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current diagnosis or history of schizophrenia""",Mixed,"child physical abuse, child sexual abuse, other (interpersonal trauma)",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS and DSM,CAPS-5 ≥25 and DSM-5 criteria,0,0,1,0,0,0,0,0,1,High,1,"Excluded: ""ongoing serious suicidal or homicidal risk as assessed by a study physician""","Excluded: ""current diagnosis of schizophrenia, schizoaffective disorder…""",Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Residential inpatient,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-III-R,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: comorbid psychosis,Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,PSS-I and DSM,Clinician diagnosed using DSM-IV criteria and PSS-I,1,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""severe suicidal risk""","Excluded: ""psychosis""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Medium
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,0,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-IV criteria and CAPS ≥50,1,1,0,0,1,0,0,1,1,Some Concerns,1,Excluded: significant risk of suicide,Excluded: any psychotic disorder,Combat-related,"combat-related, other (not specified)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS or DSM,CAPS-5 or written evidence of diagnosis from Australian Department of Veterans' Affairs,1,1,1,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""imminent risk of suicide""","Excluded: ""schizophrenia, psychosis""",Mixed,"combat-related, other (not specified)",Medium
CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,1,1,0,0,1,0,1,0,1,Low,1,"Excluded: ""severe suicidal ideation assessed by the Mini-International Neuropsychiatric Interview""","Excluded: ""unmanaged psychotic or bipolar disorder (during past year)""",Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS,CAPS-1 for DSM-IV and CAPS-2 ≥50,1,1,1,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: current diagnosis of a psychotic disorder,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (not specified)",High
Nonpharmacologic cognitive,PTSD,Other,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,0,1,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Self report,IES,IES (Dutch version) ≥26,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Other,homicidally bereaved,Low
Psychotherapy,PTSD,Residential inpatient,Parallel,N,1,0,1,1,Structured Clinical Interview,SCID,SCID-I for DSM-IV,1,0,0,0,1,0,0,1,1,Some Concerns,1,"Excluded: ""evidenced a life-threatening behaviour within the last 4 months as assessed by the Severe Behaviour Dyscontrol Interview""







Allowed: ""ongoing self-harm or other high-risk behaviours""","Excluded: ""lifetime diagnosis of schizophrenia""",Child sexual abuse,"combat-related, other (not specified)",Medium
Other study class,PTSD,Other,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV-TR and CAPS for DSM-IV-TR,0,0,0,0,0,0,1,0,1,Some Concerns,1,Excluded: prominent suicidal or homicidal ideation,Excluded: lifetime history of any psychiatric disorder with psychotic features,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,ICD-10,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,1,0,0,0,0,1,0,1,Some Concerns,1,"Allowed: ""self- injurious or parasuicidal behavior, suicidal ideation, or suicidal intent""







Excluded: ""psychiatric hospitalization or suicide attempt in the past 3 months""","Included: ""DSM–IV diagnosis of major depression, bipolar disorder, schizoaffective disorder, or schizophrenia""",Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Self report,PCL,PCL-5 ≥38,1,1,0,0,1,0,0,0,1,High,1,Excluded: presence of suicidal ideation or intent as assessed at a clinical interview,Excluded: history of psychotic illness,Mixed,"combat-related, other (not specified)",Low
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Self report,DTS,DTS,0,0,0,0,0,0,0,0,1,High,1,Excluded: active suicidal ideation,Excluded: psychosis,Mixed,"child physical abuse, child sexual abuse, child other abuse, other (not specified)",Low
Nonpharmacologic cognitive,PTSD,Other (mobile application),Parallel,Cluster-level,0,0,1,1,Self report,PCL,PCL-5 ≥33,1,1,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""active suicidal ideation""",Excluded: psychosis,Mixed,"Child physical abuse; Child sexual abuse; Rape/sexual assault; Accidents; Community/school violence; Natural or manmade disasters; Other (""military"" not further specified, ""sudden death"", ""sudden move/loss of possessions"", ""sudden abandonment"", ""other"" not further specified)",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Self report,PDS and IES,PDS for DSM-IV and IES-R >20,1,1,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Natural or manmade disasters,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,0,Structured Clinical Interview,SCID,SCID for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,Excluded: had manifested serious suicidal ideation,Excluded: had manifested psychotic symptoms or met criteria for schizophrenia or schizoaffective disorder,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,1,0,0,0,0,0,0,0,1,Low,1,Excluded: serious risk of harm to self,Excluded: meeting diagnostic criteria for a history of or current psychotic disorder,Mixed,"combat-related, rape/sexual assault, accidents, terrorism/political violence/forced displacement, other (assault)",High
Other study class,PTSD,Mixed,Parallel,N,0,0,0,1,Self report,PCL,PCL-S for DSM-IV ≥40,1,0,0,0,0,0,1,0,1,Some Concerns,1,Excluded: suicidal attempt or intent in past 2 months,Excluded: psychosis,Other,military-related,Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,1,0,1,0,0,0,0,1,Low,1,Excluded: suicidal intent,Excluded: current psychosis,Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, intimate partner violence",High
Psychotherapy,PTSD,Mixed,Parallel,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV-TR criteria,1,1,0,0,0,0,0,0,1,High,1,Excluded: self-injurius behavior,Excluded: active psychosis,Mixed,"combat-related, other (not specified)",Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,1,1,1,0,0,1,0,1,High,1,Excluded: active suicidal intent,Excluded: active psychosis,Mixed,"MST; Combat-related; Rape/sexual assault; Other (childhood, not specified; other adult, not specified)",High
Psychotherapy,PTSD,Other,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS and PSS-I,PSS-I for DSM-IV-TR and CAPS,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"rape/sexual assault, terrorism/political violence/forced displacement",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,CAPS,CAPS (Dutch) for DSM-IV-TR,1,0,0,0,0,0,1,0,1,Some Concerns,1,"Excluded: ""current high suicide risk""","Excluded: ""active psychosis""",Mixed,"intimate partner violence, terrorism/political violence/forced displacement, other (unspecified child abuse, persecution)",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS according to DSM-IV,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: current suicidal risk,Excluded:  lifetime history of psychosis,Combat-related,"combat-related, other (not specified)",High
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,DSM-IV criteria,1,1,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""history of psychosis""",Combat-related,"combat-related, other (not specified)",Medium
Psychotherapy,PTSD,Other,Parallel,Cluster-level,0,0R (prohibited i0dividual therap1),0R (prohibited i0dividual therap1),1,Structured Clinical Interview,CAPS,CAPS,1,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""endorsed significant suicidal ideation with intent and plan""","Excluded: ""symptoms of psychosis on the psychotic screen of the Structured Clinical Interview for Axis I disorders""",Intimate partner violence,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0R (CBT excluded),0 (except diazepam),Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV-TR criteria,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Other,Parallel,N,0,0,0,0,Self report,PDS,PDS >10,1,0,0,0,1,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"rape/sexual assault, community/school violence, accidents, other (witness to murder)",Medium
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Clinical diagnosis,ICD Codes,ICD-10 criteria,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current of previous comorbid axis I psychiatric disorders… using the Mini-DIPS (Diagnostisches Kurz-Interview bei psychischen Storungen)""",Combat-related,"combat-related, other (not specified)",Low
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,SCID and PCL,SCID for DSM-IV and PCL-M >50,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""other concurrent Axis 1 psychiatric disorders or personality disorders""",Combat-related,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,MINI,MINI for DSM-5,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""current, active suicidal intent, or plan""","Excluded: ""severe psychosis""",MST,"combat-related, other (not specified)",Low
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,1,1,0,0,0,1,0,0,1,Low,1,"Excluded: ""currently suicidal (expressed suicidal ideation accompanied by a plan and intent), had a recent history of self-harm (past 6 months)""","Excluded: ""current active symptoms of psychosis""",Mixed,"combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, terrorism/political violence/forced displacement, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,CAPS,CAPS-DX for DSM-IV >50,1,1,1,0,1,0,0,0,1,High,1,Excluded: suicidal or homicidal ideation,Excluded: schizophrenia and schizoaffectivedisorder,Mixed,"combat-related, other (not specified)",High
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,PCL,PCL-5 >20,0,1,0,0,0,0,0,0,1,High,1,"Excluded: ""active suicidal ideation""","Excluded: ""active psychosis""",Mixed,"combat-related, rape/sexual assault, community/school violence, illness/medical procedure, natural or manmade disasters, child other abuse, other (""work-related trauma [e.g. first responders]"")",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,0,0,1,0,1,0,1,Low,1,Excluded: suicidal ideation,"Excluded: current or lifetime DSM-IV psychotic disorder, or current MDD with psychotic features",Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,0,Structured Clinical Interview,MINI,MINI for DSM-IV,1,1,1,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death of or threat of harm to a loved one; unwanted therapeutic abortion)",Low
Psychotherapy & pharmacotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,1,1,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,1,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""current psychotic… disorder""",Other,"""related to military service""",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,SCID,SCID-5 (Korean version) for DSM-5,1,1,1,1,0,0,1,0,1,High,1,"Excluded: ""risk of suicide""","Excluded: ""past or recent hallucinations or delusions""",Mixed,Intimate partner violence; Accidents; Community/school violence,High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥45,1,0,0,0,0,0,0,0,1,High,1,Excluded: current prominent suicidal or homicidal intent,Excluded: current psychotic symptoms,MST,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,DSM-5 criteria,0,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""suicide or homicidal ideas""","Excluded: ""major psychotic illness based on DSM-5 (schizophrenia, schizoaffective disorder, or bipolar disorder)""",Combat-related,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: recent history (within the last 2 months) of a suicide attempt,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,0,1,0,0,0,1,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: lifetime criteria for schizophrenia or schizoaffective disorder,Mixed,"combat-related, other (not specified)",Medium
Psychotherapy,PTSD,Intensive outpatient,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,0,0,0,0,1,0,0,0,1,Some Concerns,1,"Excluded: ""active symptoms that might interfere with treatment, such as…suicidality""","Excluded: ""active symptoms that might interfere with treatment, such as…psychosis""",Combat-related,"combat-related, other (not specified)",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,PCL,PCL-C,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""serious impulsive tendencies of suicide, autogestion or hurt others""",Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Mixed,Parallel,Cluster-level,1,0,1,0,Structured Clinical Interview,SI-PTSD,SI-PTSD according to DSM-III,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: schizophrenia,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Crossover 1st period,N,0,0,1,0 (except a0xiol1tics),Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS-IV ≥50,1,0,1,0,1,0,0,1,1,Low,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (firefighter/police officer)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV,1,1,0,0,1,0,0,0,1,High,1,"Excluded: ""severe depression needing immediate treatment in its own right (i.e., suicide risk)""","Excluded: ""history of psychosis""",Mixed,"Accidents; Community/school violence; Other (""witness death"")",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID and PSS-SR,SCID for DSM-IV and PSS-SR ≥16,1,1,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""active… psychosis""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,1,0,1,1,0,0,0,1,Some Concerns,1,"Excluded: ""presence of suicide attempt or psychiatric hospitalization within the last 3 months""","Excluded: ""current diagnosis of organic or psychotic mental disorders""",Mixed,"child physical abuse, child sexual abuse",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-III-R,1,1,0,0,1,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: patients with psychotic illness,Mixed,"accidents, other (crime, not specified)",High
CIH,PTSD,Outpatient clinic,Parallel,Item-level,0,0,1,1,Structured Clinical Interview,PTSD-Interview,PTSD-Interview for DSM-III-R,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III criteria,0,1,0,1,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",Low
CIH,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Clinical diagnosis,DSM,established diagnosis,1,0,0,0,0,0,1,0,1,High,1,"Excluded: ""current suicidal or homicidal ideation""","Excluded: ""any past or present psychotic disorder""",Mixed,"combat-related, other (not specified)",Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Structured Clinical Interview,CAPS,CAPS-5,0,0,1,0,0,0,0,0,1,Low,1,"Excluded: ""suicidal ideation with intent to act or with specific plan and intent in the past 6 months or concerning history of prior suicidal behavior""","Excluded: ""history of psychotic disorders""",Mixed,"Child sexual abuse; Rape/sexual assault; Intimate partner violence; Community/school violence; Other (""sudden violent death of someone close""; ""sudden accidental death of someone close"", not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,1,1,0,0,0,0,0,0,1,Low,1,Excluded: high risk for suicide,Excluded: active psychosis/psychotic disorder,Mixed,Combat-related; Child physical abuse; Child sexual abuse; Rape/sexual assault; Accidents; Community/school violence; Other (death or trauma to friend or loved one),High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS and SCID,SCID-5 and CAPS-5 ≥30,1,0,0,0,0,0,0,1,1,Low,1,"Excluded: ""active suicidal ideation... (having a plan or inability to contract a no-harm agreement)""",Excluded: lifetime history of psychotic disorder,Mixed,Combat-related; Rape/sexual assault; Accidents; Community/school violence; Terrorism/political violence/forced displacement; Other (witnessed violent assault or death),Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,1,1,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""imminent or severe risk of harm to self or others""","Excluded: ""acute psychosis""",Mixed,"combat-related, rape/sexual assault, accidents, illness/medical procedure, community/school violence, other (adverse childhood experiences, not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Item-level,0,0,1,1,Structured Clinical Interview,CAPS and DTS,CAPS >50 and DTS >50,1,0,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychotic disorder,Mixed,"rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current or past history of a psychosis according to DSM-IV""",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",High
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Clinical diagnosis,ICD Codes,ICD-10 criteria for PTSD,1,1,0,0,1,0,1,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: psychotic disorders (ICD-10 F2x diagnoses of schizophrenia, schizotypal and delusional disorders) 



Allowed: trauma-related psychotic symptoms",Terrorism/political violence/forced displacement,"combat-related, other (not specified)",Medium
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS for DSM-IV >50,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault, community/school violence, other (multiple trauma)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,Semi-structured clinical interview for DSM-IV,1,0,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"terrorism/political violence/forced displacement, community/school violence, accidents",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,SI-PTSD,SI-PTSD for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded patients with psychotic disorders,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (unspecified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level and item-level,1,1,1,1,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-IV criteria and CAPS ≥50,1,0,1,0,0,0,0,0,1,Some Concerns,1,Excluded: active suicidal ideation,Excluded: psychotic disorders according to SCID for DSM-IV,Combat-related,"combat-related, other (not specified)",Medium
Psychotherapy,PTSD+SUD,Intensive outpatient,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-IV for DSM-IV,0,0,0,0,0,1,0,0,1,Low,1,"Excluded: ""suicide attempt in the past 30 days""","Excluded: ""acute psychotic symptoms""",Mixed,"child sexual abuse, community/school violence, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV-TR,1,1,0,0,0,0,0,0,1,High,1,"Excluded: current clinically relevant suicide risk ""based on structured clinical interview""; ""current self-mutilating behaviors (ie, cutting, burning, and hurting themselves deliberately), as assessed by the SCID""","Excluded: ""psychotic symptoms not stabilized with medication""",Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,0,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS ≥50,1,0,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: schizophrenia, schizoaffective disorder, or psychotic symptoms",Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unexpected death)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,SI-PTSD,SI-PTSD for DSM-III-R,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""current unstable psychological condition (i.e., psychosis or suspected organic brain damage)""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS-IV,1,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""acutely suicidal""","Excluded: ""actively psychotic""",Combat-related,"combat-related, other (not specified)",High
